"","","","","","","","","","","","","","","","","","",""
"江苏省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:54:27",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"1","0437","棒棒糖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"面值合计","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0112","星座奇缘","0","0","586","351,600","0","0","0","0","0","0","0","0","0","0","586","351,600"
"2","0148","神秘礼物","0","2","550","390,000","0","0","0","0","0","0","0","0","0","2","550","390,000"
"2","0157","黄金瓜","0","0","144","86,400","0","0","0","0","0","0","0","0","0","0","144","86,400"
"2","0197","太空寻宝","0","1","323","223,800","0","0","0","0","0","0","0","0","0","1","323","223,800"
"2","0228","金满罐","0","0","13","7,800","0","0","0","0","0","0","0","0","0","0","13","7,800"
"2","0298","太空寻宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0316","小蛋糕","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0356","小金猪","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0370","金豆豆","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0371","我爱中国","0","13","0","390,000","0","0","0","0","0","0","0","0","0","13","0","390,000"
"2","0396","彩蛋","0","37","0","1,110,000","0","0","0","0","0","0","0","0","0","37","0","1,110,000"
"2","0434","八喜","0","38","0","1,140,000","0","0","0","0","0","0","0","0","0","38","0","1,140,000"
"2","0452","旺旺","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"面值合计","","","0","91","1,616","3,699,600","0","0","0","0","0","0","0","0","0","91","1,616","3,699,600"
"3","0083","金鹅","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"3","0098","红樱桃","0","1","247","172,200","0","0","0","0","0","0","0","0","0","1","247","172,200"
"3","0109","幸运号码","0","21","414","752,400","0","0","0","0","0","0","0","0","0","21","414","752,400"
"3","0137","超级王牌","0","10","111","306,600","0","0","0","0","0","0","0","0","0","10","111","306,600"
"面值合计","","","0","32","773","1,231,800","0","0","0","0","0","0","0","0","0","32","773","1,231,800"
"5","0027","甜蜜蜜","0","30","50","930,000","0","0","0","0","0","0","0","0","0","30","50","930,000"
"5","0057","麻辣6","0","20","0","600,000","0","0","0","0","0","0","0","0","0","20","0","600,000"
"5","0064","乐翻番","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"5","0067","精彩奇妙5","0","0","150","90,000","0","0","0","0","0","0","0","0","0","0","150","90,000"
"5","0077","金银岛","0","0","3","1,800","0","0","0","0","0","0","0","0","0","0","3","1,800"
