"","","","","","","","","","","","","","","","","","",""
"山东省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:13:32",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"1","0437","棒棒糖","0","0","1","200","0","0","0","0","0","0","0","0","0","0","1","200"
"面值合计","","","0","0","1","200","0","0","0","0","0","0","0","0","0","0","1","200"
"2","0112","星座奇缘","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0114","步步为赢","0","2","186","171,600","0","0","0","0","0","0","0","0","0","2","186","171,600"
"2","0234","热力50","0","1","0","30,000","0","0","0","0","0","0","0","0","0","1","0","30,000"
"2","0274","招财猫","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0280","加油","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0298","太空寻宝","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"2","0316","小蛋糕","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0346","年终奖","0","0","23","6,900","0","0","0","0","0","0","0","0","0","0","23","6,900"
"2","0350","报喜","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0356","小金猪","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0370","金豆豆","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"2","0371","我爱中国","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0396","彩蛋","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0423","太空寻宝","0","125","43","3,775,800","0","0","0","0","0","0","162","97,200","0","122","31","3,678,600"
"2","0434","八喜","0","15","47","478,200","0","0","0","0","0","1","72","73,200","0","13","25","405,000"
"2","0452","旺旺","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0461","糖葫芦","0","2","96","88,800","0","0","0","0","0","0","0","0","0","2","96","88,800"
"2","0467","加油","0","178","26","3,565,200","0","0","0","0","0","0","29","5,800","0","177","97","3,559,400"
"面值合计","","","0","323","423","8,117,700","0","0","0","0","0","1","263","176,200","0","317","460","7,941,500"
"3","0098","红樱桃","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0219","挖地雷","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0456","红樱桃","0","46","10","1,110,000","0","0","0","0","0","0","68","40,800","0","44","22","1,069,200"
"面值合计","","","0","46","10","1,110,000","0","0","0","0","0","0","68","40,800","0","44","22","1,069,200"
"5","0057","麻辣6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0067","精彩奇妙5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0105","NBA","0","0","11","6,600","0","0","0","0","0","0","0","0","0","0","11","6,600"
"5","0115","生日快乐","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0196","麻辣6","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"5","0233","热力100","0","25","36","771,600","0","0","0","0","0","0","0","0","0","25","36","771,600"
"5","0251","够级","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0267","甜蜜蜜","0","103","48","3,118,800","0","0","0","0","0","2","126","135,600","0","99","22","2,983,200"
"5","0285","魔钻","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"5","0286","清凉水果","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0290","九宫格","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0295","富贵金锁","0","0","4","1,200","0","0","0","0","0","0","0","0","0","0","4","1,200"
"5","0302","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0305","双龙戏珠","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0314","LOVE","0","78","47","2,354,100","0","0","0","0","0","0","41","12,300","0","78","6","2,341,800"
"5","0318","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0322","麻辣6","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"5","0325","KONGFU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0330","绿宝石","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0334","好开心","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
