"","","","","","","","","","","",""
"","山东各地市中心销量表","","","","","","","","","",""
"","B4.02","","","","","","","","","",""
"","游戏范围：","全部游戏","","","","","","","","",""
"","查询日期：","2018-11-13~2018-11-13","","","","","","","打印时间：","2018-11-14",""
"","","","","","","","","","","",""
"","市中心编码","市中心名称","确认","","","激活","","","兑奖","",""
"","","","包数","金额","占比","包数","金额","占比","张数","金额","占比"
"","3724","滨州市","360","216,900","6.58%","28","14,800","0.58%","3,042","74,869","3.06%"
"","3720","德州市","219","139,600","4.23%","170","108,900","4.24%","3,084","70,761","2.90%"
"","3726","菏泽市","101","66,600","2.02%","142","88,600","3.45%","2,298","55,475","2.27%"
"","3705","烟台市","204","126,100","3.83%","87","55,000","2.14%","6,621","156,424","6.40%"
"","3716","泰安市","149","98,800","3.00%","98","63,700","2.48%","3,568","86,165","3.53%"
"","3717","威海市","382","239,200","7.26%","180","114,500","4.46%","3,744","88,509","3.62%"
"","3722","临沂市","689","423,800","12.86%","514","331,400","12.90%","7,723","160,593","6.57%"
"","3712","潍坊市","597","357,000","10.83%","487","296,400","11.54%","11,546","231,974","9.49%"
"","3701","济南市","1,204","762,200","23.12%","1,157","744,100","28.97%","13,616","342,975","14.04%"
"","3725","聊城市","68","42,900","1.30%","115","70,700","2.75%","2,824","62,970","2.58%"
"","3703","青岛市","564","356,600","10.82%","504","330,900","12.88%","16,604","321,742","13.17%"
"","3709","枣庄市","146","88,100","2.67%","184","112,500","4.38%","2,348","56,683","2.32%"
"","3719","莱芜市","31","20,200","0.61%","45","26,800","1.04%","582","9,820","0.40%"
"","3714","济宁市","86","53,000","1.61%","55","35,000","1.36%","1,710","37,605","1.54%"
"","3789","省直","0","0","0.00%","0","0","0.00%","19,431","487,845","19.96%"
"","3707","淄博市","286","176,200","5.34%","149","94,500","3.68%","5,697","122,172","5.00%"
"","3718","日照市","111","71,500","2.17%","92","58,900","2.29%","2,183","35,476","1.45%"
"","3711","东营市","93","58,000","1.76%","36","21,600","0.84%","2,075","41,494","1.70%"
"","合计","","5,290","3,296,700","100.01%","4,043","2,568,300","99.98%","108,696","2,443,552","100%"
"","","","","","","","","","","",""
