"销售网点分玩法销售统计","","","","","","","","","","","","",""
"JX201","","","","","","","","","","","","",""
"日期范围：","2018-11-13~2018-11-13","","","","","","","","打印时间：","","","2018-11-14 06:12:33",""
"","","","","","","","","","","","","",""
"市编码","市名称","县编码","县名称","网点编码","网点名称","游戏编码","游戏名称","激活包数","激活金额","确认包数","确认金额","兑奖张数","兑奖金额"
"3701","济南市","370101","市辖区","3701071187","3701071187","0267","甜蜜蜜","0","0","0","0","4","20"
"3701","济南市","370101","市辖区","3701071187","3701071187","0423","太空寻宝","0","0","0","0","4","26"
"3701","济南市","370102","历下区","3701001040","3701001040","0267","甜蜜蜜","0","0","0","0","6","35"
"3701","济南市","370102","历下区","3701001040","3701001040","0355","一路平安","0","0","0","0","9","110"
"3701","济南市","370102","历下区","3701001040","3701001040","0463","体彩顶呱刮十周年庆","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001040","3701001040","0465","十倍幸运","0","0","0","0","7","110"
"3701","济南市","370102","历下区","3701001040","3701001040","0469","巅峰对决","0","0","0","0","5","280"
"3701","济南市","370102","历下区","3701001045","3701001045","0443","挖金矿","0","0","0","0","1","100"
"3701","济南市","370102","历下区","3701001046","3701001046","0451","麻辣6","0","0","0","0","2","10"
"3701","济南市","370102","历下区","3701001046","3701001046","0460","新时代 动起来","0","0","0","0","2","15"
"3701","济南市","370102","历下区","3701001079","3701001079","0456","红樱桃","0","0","0","0","2","13"
"3701","济南市","370102","历下区","3701001079","3701001079","0481","节气歌","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001104","3701001104","0418","招财猫","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001104","3701001104","0478","爱跑","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001104","3701001104","0481","节气歌","0","0","0","0","2","90"
"3701","济南市","370102","历下区","3701001142","3701001142","0267","甜蜜蜜","0","0","0","0","2","15"
"3701","济南市","370102","历下区","3701001142","3701001142","0429","天时地利人和","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001142","3701001142","0433","富贵有余","0","0","0","0","2","60"
"3701","济南市","370102","历下区","3701001142","3701001142","0446","天降财神","0","0","0","0","2","60"
"3701","济南市","370102","历下区","3701001142","3701001142","0451","麻辣6","0","0","0","0","9","95"
