"","","","","","","","","","","","","","","","","","",""
"山东省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-04-21~2018-04-21","","","","","","","","","","","","","打印时间：","","2018-04-21 12:58:29",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"2","0112","星座奇缘","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0114","步步为赢","0","2","186","171,600","0","0","0","0","0","0","0","0","0","2","186","171,600"
"2","0234","热力50","0","1","0","30,000","0","0","0","0","0","0","0","0","0","1","0","30,000"
"2","0274","招财猫","0","0","7","4,200","0","0","0","0","0","0","0","0","0","0","7","4,200"
"2","0280","加油","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0298","太空寻宝","0","0","4","2,400","0","0","0","0","0","0","0","0","0","0","4","2,400"
"2","0316","小蛋糕","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0346","年终奖","0","0","25","7,500","0","0","0","0","0","0","0","0","0","0","25","7,500"
"2","0350","报喜","0","0","5","1,500","0","0","0","0","0","0","0","0","0","0","5","1,500"
"2","0356","小金猪","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0370","金豆豆","0","0","9","5,400","0","0","0","0","0","0","0","0","0","0","9","5,400"
"2","0371","我爱中国","0","0","6","1,800","0","0","0","0","0","0","0","0","0","0","6","1,800"
"2","0396","彩蛋","0","0","2","600","0","0","0","0","0","0","0","0","0","0","2","600"
"2","0423","太空寻宝","0","104","16","3,129,600","0","0","0","0","0","0","0","0","0","101","166","3,129,600"
"2","0434","八喜","0","0","5","3,000","0","0","0","0","0","0","0","0","0","0","5","3,000"
"2","0452","旺旺","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"面值合计","","","0","107","265","3,357,600","0","0","0","0","0","0","0","0","0","104","415","3,357,600"
"3","0098","红樱桃","0","0","8","4,800","0","0","0","0","0","0","0","0","0","0","8","4,800"
"3","0219","挖地雷","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0456","红樱桃","0","14","25","351,000","0","0","0","0","0","0","0","0","0","13","65","351,000"
"面值合计","","","0","14","33","355,800","0","0","0","0","0","0","0","0","0","13","73","355,800"
"5","0057","麻辣6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0067","精彩奇妙5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0105","NBA","0","0","11","6,600","0","0","0","0","0","0","0","0","0","0","11","6,600"
"5","0115","生日快乐","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0196","麻辣6","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"5","0233","热力100","0","26","15","789,000","0","0","0","0","0","0","0","0","0","26","15","789,000"
"5","0251","够级","0","3","4","46,200","0","0","0","0","0","0","0","0","0","3","4","46,200"
"5","0267","甜蜜蜜","0","87","35","2,631,000","0","0","0","0","0","0","0","0","0","86","85","2,631,000"
"5","0285","魔钻","0","0","5","3,000","0","0","0","0","0","0","0","0","0","0","5","3,000"
