"","","","","","","","","","","","","","","","","","",""
"浙江省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:20:17",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"1","0437","棒棒糖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"面值合计","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0050","年年有鱼","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0102","情谊两心知","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0112","星座奇缘","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0130","即现彩虹","0","0","29","17,400","0","0","0","0","0","0","0","0","0","0","29","17,400"
"2","0135","十全十美","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"2","0157","黄金瓜","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0197","太空寻宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0234","热力50","0","42","12","1,263,600","0","0","0","0","0","0","0","0","0","42","12","1,263,600"
"2","0241","金铃铛","0","0","36","21,600","0","0","0","0","0","0","0","0","0","0","36","21,600"
"2","0256","四叶草","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0274","招财猫","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0298","太空寻宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0316","小蛋糕","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0346","年终奖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0350","报喜","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0356","小金猪","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0417","小金猪","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0423","太空寻宝","0","8","6","243,600","0","0","0","0","0","0","36","21,600","0","7","20","222,000"
"2","0434","八喜","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0452","旺旺","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"面值合计","","","0","50","85","1,547,400","0","0","0","0","0","0","36","21,600","0","49","99","1,525,800"
"3","0098","红樱桃","0","0","6","3,600","0","0","0","0","0","0","0","0","0","0","6","3,600"
"3","0456","红樱桃","0","25","11","606,600","0","0","0","0","0","0","8","4,800","0","25","3","601,800"
"面值合计","","","0","25","17","610,200","0","0","0","0","0","0","8","4,800","0","25","9","605,400"
"5","0057","麻辣6","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
