"","","","","","","","","","","",""
"","浙江各地市中心销量表","","","","","","","","","",""
"","B4.02","","","","","","","","","",""
"","游戏范围：","全部游戏","","","","","","","","",""
"","查询日期：","2018-11-13~2018-11-13","","","","","","","打印时间：","2018-11-14",""
"","","","","","","","","","","",""
"","市中心编码","市中心名称","确认","","","激活","","","兑奖","",""
"","","","包数","金额","占比","包数","金额","占比","张数","金额","占比"
"","3302","宁波","298","176,500","12.66%","298","176,500","12.66%","6,593","121,840","10.19%"
"","3303","温州","300","175,500","12.59%","300","175,500","12.59%","8,423","177,792","14.86%"
"","3310","台州","108","66,400","4.76%","108","66,400","4.76%","3,733","72,002","6.02%"
"","3312","义乌","116","70,500","5.06%","116","70,500","5.06%","2,307","48,721","4.07%"
"","3301","杭州","717","432,700","31.05%","717","432,700","31.05%","13,765","302,555","25.29%"
"","3304","嘉兴","233","136,600","9.80%","233","136,600","9.80%","5,174","105,419","8.81%"
"","3307","金华","117","70,600","5.07%","117","70,600","5.07%","4,066","84,978","7.10%"
"","3309","舟山","58","32,700","2.35%","58","32,700","2.35%","1,080","25,988","2.17%"
"","3308","衢州","27","15,000","1.08%","27","15,000","1.08%","859","16,132","1.35%"
"","3306","绍兴","123","76,900","5.52%","123","76,900","5.52%","4,050","136,576","11.42%"
"","3311","丽水","68","39,100","2.81%","68","39,100","2.81%","1,658","31,562","2.64%"
"","3305","湖州","173","101,200","7.26%","173","101,200","7.26%","3,471","72,689","6.08%"
"","合计","","2,338","1,393,700","100.01%","2,338","1,393,700","100.01%","55,179","1,196,254","100%"
"","","","","","","","","","","",""
